system:index,distance_to_roads,gridcode,hii,tri,woody_cover,.geo
00000000000000000000,2457.7432595986725,N08W30,16.119639181335646,30.975067841339754,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41798070141661,1.2299627874508134],[97.41806543031984,1.0762174411813472],[97.570811932698,1.0762932178779168],[97.57073611114353,1.230047474291085],[97.41798070141661,1.2299627874508134]]]}"
00000000000000000001,2080.1802772225133,N09W30,15.163961449341324,31.032328388323855,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41788260742297,1.3837036805462848],[97.41798070141661,1.2299627874508134],[97.57073611114353,1.230047474291085],[97.57065144246086,1.3838017256150428],[97.41788260742297,1.3837036805462848]]]}"
00000000000000000002,3037.832046749734,N10W30,17.449764239355158,24.052314424956215,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41777560345386,1.5374490288599154],[97.41788260742297,1.3837036805462848],[97.57065144246086,1.3838017256150428],[97.570553296373,1.5375560042631327],[97.41777560345386,1.5374490288599154]]]}"
00000000000000000003,37258.862265356736,N14W30,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41723159357048,2.1524259183056014],[97.41738322949729,1.9986806047223395],[97.57020106303038,1.9988232551672789],[97.57006281606611,2.1525774896132432],[97.41723159357048,2.1524259183056014]]]}"
00000000000000000004,26650.866329927165,N15W30,12.0,9.227655224716488,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41706659294344,2.3061667888396498],[97.41723159357048,2.1524259183056014],[97.57006281606611,2.1525774896132432],[97.5699111746768,2.306331787462046],[97.41706659294344,2.3061667888396498]]]}"
00000000000000000005,19381.945939971105,N16W30,12.0,12.92575525860817,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.41689268271286,2.4599077192573655],[97.41706659294344,2.3061667888396498],[97.5699111746768,2.306331787462046],[97.56975515141217,2.4600816072726572],[97.41689268271286,2.4599077192573655]]]}"
00000000000000000006,6804.3789713151245,N19W30,18.402946406111173,18.416776156263733,5.750782316917198,"{""type"":""Polygon"",""coordinates"":[[[97.4162951377863,2.921134781234091],[97.41650922376489,2.767393885220627],[97.56940730430483,2.7675901006369386],[97.56921556332414,2.921339886602987],[97.4162951377863,2.921134781234091]]]}"
00000000000000000007,3651.4265869856654,N20W30,9.503556288698372,41.979843059742784,84.78814544889073,"{""type"":""Polygon"",""coordinates"":[[[97.41607668002871,3.07487567127703],[97.4162951377863,2.921134781234091],[97.56921556332414,2.921339886602987],[97.56901489318854,3.0750941599502624],[97.41607668002871,3.07487567127703]]]}"
00000000000000000008,12987.8937937747,N21W30,5.8808231260454225,114.41950453026405,95.32044532037071,"{""type"":""Polygon"",""coordinates"":[[[97.41584477567176,3.2286165756085943],[97.41607668002871,3.07487567127703],[97.56901489318854,3.0750941599502624],[97.56880537665752,3.228844014778836],[97.41584477567176,3.2286165756085943]]]}"
00000000000000000009,22465.02782026138,N22W30,3.7115772776015663,135.63821983342646,98.77367253704394,"{""type"":""Polygon"",""coordinates"":[[[97.41559958984895,3.3823574981419795],[97.41584477567176,3.2286165756085943],[97.56880537665752,3.228844014778836],[97.56858684844775,3.3825938298361584],[97.41559958984895,3.3823574981419795]]]}"
0000000000000000000a,24368.65619721231,N23W30,3.331626687768385,130.4100330691099,98.43533790238881,"{""type"":""Polygon"",""coordinates"":[[[97.41534541260616,3.5360938546909133],[97.41559958984895,3.3823574981419795],[97.56858684844775,3.3825938298361584],[97.56835500920758,3.5363435972429715],[97.41534541260616,3.5360938546909133]]]}"
0000000000000000000b,18087.686488448322,N24W30,3.913923190956974,125.21747505372045,98.29323282154823,"{""type"":""Polygon"",""coordinates"":[[[97.41507787165905,3.689834780066295],[97.41534541260616,3.5360938546909133],[97.56835500920758,3.5363435972429715],[97.56811415849204,3.690093431739618],[97.41507787165905,3.689834780066295]]]}"
0000000000000000000c,7960.41694594145,N25W30,5.001123883765712,121.40895687994121,95.21562867199087,"{""type"":""Polygon"",""coordinates"":[[[97.41480133953084,3.843575694509963],[97.41507787165905,3.689834780066295],[97.56811415849204,3.690093431739618],[97.56786446175677,3.843843206592892],[97.41480133953084,3.843575694509963]]]}"
0000000000000000000d,5370.011183909071,N26W30,2.6043923297396074,88.60895817805263,94.56833676992802,"{""type"":""Polygon"",""coordinates"":[[[97.4145115264793,3.997312065862347],[97.41480133953084,3.843575694509963],[97.56786446175677,3.843843206592892],[97.56760137166546,3.9975930228148675],[97.4145115264793,3.997312065862347]]]}"
0000000000000000000e,3861.540359604598,N27W30,1.6917112764282871,97.57497669973156,91.56730769491678,"{""type"":""Polygon"",""coordinates"":[[[97.41420835017635,4.151048525865792],[97.4145115264793,3.997312065862347],[97.56760137166546,3.9975930228148675],[97.56732935310394,4.151342853486469],[97.41420835017635,4.151048525865792]]]}"
0000000000000000000f,7349.593126336467,N28W30,1.3564612344850129,122.87545137200665,97.8977937370379,"{""type"":""Polygon"",""coordinates"":[[[97.41389618310832,4.304784925348292],[97.41420835017635,4.151048525865792],[97.56732935310394,4.151342853486469],[97.56704848885717,4.305088150533245],[97.41389618310832,4.304784925348292]]]}"
00000000000000000010,3798.8416148892184,N29W30,1.993072994183934,99.1172921023285,95.75013805674148,"{""type"":""Polygon"",""coordinates"":[[[97.41357065310997,4.458521375620863],[97.41389618310832,4.304784925348292],[97.56704848885717,4.305088150533245],[97.56675414897674,4.458837946080707],[97.41357065310997,4.458521375620863]]]}"
00000000000000000011,2885.831195795738,N30W30,3.9268126116217807,80.78676835414049,95.59359325228995,"{""type"":""Polygon"",""coordinates"":[[[97.41323621513418,4.612257767685964],[97.41357065310997,4.458521375620863],[97.56675414897674,4.458837946080707],[97.5664509636695,4.612583329269463],[97.41323621513418,4.612257767685964]]]}"
00000000000000000012,2579.987193890075,N31W30,7.4509530162700095,60.52186663894121,96.2365109601181,"{""type"":""Polygon"",""coordinates"":[[[97.41288841457165,4.765989788234909],[97.41323621513418,4.612257767685964],[97.5664509636695,4.612583329269463],[97.56613876769379,4.766328677613782],[97.41288841457165,4.765989788234909]]]}"
00000000000000000013,1210.5776563349982,N32W30,12.380186114056576,25.29950713877205,69.87860511562509,"{""type"":""Polygon"",""coordinates"":[[[97.41253170634252,4.919726207970585],[97.41288841457165,4.765989788234909],[97.56613876769379,4.766328677613782],[97.56581326189202,4.920074002467037],[97.41253170634252,4.919726207970585]]]}"
00000000000000000014,800.8955225834621,N33W30,14.960458459521362,12.437156612428254,55.933775877819606,"{""type"":""Polygon"",""coordinates"":[[[97.41216155339919,5.073458189000281],[97.41253170634252,4.919726207970585],[97.56581326189202,4.920074002467037],[97.56547882838791,5.07381489867367],[97.48882020815365,5.073636506812555],[97.41216155339919,5.073458189000281]]]}"
00000000000000000015,642.376321755972,N34W30,16.438293498263857,6.487230632059154,10.589098896017541,"{""type"":""Polygon"",""coordinates"":[[[97.41177812094753,5.22719011904292],[97.41216155339919,5.073458189000281],[97.48882020815365,5.073636506812555],[97.56547882838791,5.07381489867367],[97.56513546731065,5.2275602502801535],[97.48845682881802,5.227375198505601],[97.41177812094753,5.22719011904292]]]}"
00000000000000000016,9090.746430209574,N35W30,10.131222391140229,6.718014207721212,0.2214607123168264,"{""type"":""Polygon"",""coordinates"":[[[97.41138569886581,5.380922113318068],[97.41177812094753,5.22719011904292],[97.48845682881802,5.227375198505601],[97.56513546731065,5.2275602502801535],[97.56477879690047,5.381301113504491],[97.48808221976341,5.381111598894726],[97.41138569886581,5.380922113318068]]]}"
00000000000000000017,10033.195716987479,N04W29,15.762683519969823,18.564200324214184,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.57098135324281,0.615025938577906],[97.5710170730005,0.4612672339000143],[97.72375463408221,0.46129845535101316],[97.72372347662682,0.6150616422870792],[97.57098135324281,0.615025938577906]]]}"
00000000000000000018,4501.618440469567,N05W29,13.602889592991959,36.25997690987496,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.5709367862561,0.7687802248638492],[97.57098135324281,0.615025938577906],[97.72372347662682,0.6150616422870792],[97.72368328684438,0.7688292774418339],[97.5709367862561,0.7687802248638492]]]}"
00000000000000000019,4016.829018967794,N06W29,15.904849689460011,55.49937703113893,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.57087882441078,0.9225344745977736],[97.5709367862561,0.7687802248638492],[97.72368328684438,0.7688292774418339],[97.72362975574713,0.9225969554932454],[97.57087882441078,0.9225344745977736]]]}"
0000000000000000001a,3637.8745923759625,N07W29,16.07953302669674,56.513270072856244,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.570811932698,1.0762932178779168],[97.57087882441078,0.9225344745977736],[97.72362975574713,0.9225969554932454],[97.72357183282557,1.0763601274504342],[97.570811932698,1.0762932178779168]]]}"
0000000000000000001b,2499.762307877612,N08W29,15.84445726755402,42.22096208108445,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.57073611114353,1.230047474291085],[97.570811932698,1.0762932178779168],[97.72357183282557,1.0763601274504342],[97.72350496049904,1.2301233134188],[97.57073611114353,1.230047474291085]]]}"
0000000000000000001c,4402.886369342832,N09W29,20.873878613324695,36.077373169534454,0.0,"{""type"":""Polygon"",""coordinates"":[[[97.57065144246086,1.3838017256150428],[97.57073611114353,1.230047474291085],[97.72350496049904,1.2301233134188],[97.72342466407203,1.3838909042887304],[97.57065144246086,1.3838017256150428]]]}"
0000000000000000001d,5037.300910250281,N16W29,6.1282602645619075,7.485715510955684,22.675490123588194,"{""type"":""Polygon"",""coordinates"":[[[97.56975515141217,2.4600816072726572],[97.5699111746768,2.306331787462046],[97.72276920337457,2.3064745057911535],[97.72262651097041,2.4602376936728803],[97.56975515141217,2.4600816072726572]]]}"
0000000000000000001e,7963.175129041717,S04W25,6.533224933166612,30.414457014698776,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.18199414604143,-0.6151552979210488],[98.33476293392346,-0.6151731429828149],[98.33478081773659,-0.4613831901780128],[98.18201649625848,-0.4613653363932615],[98.18199414604143,-0.6151552979210488]]]}"
0000000000000000001f,13993.408518728786,S03W25,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.18201649625848,-0.4613653363932615],[98.33478081773659,-0.4613831901780128],[98.33479418881466,-0.30758876701367155],[98.1820298396749,-0.30757541988436365],[98.18201649625848,-0.4613653363932615]]]}"
00000000000000000020,14610.968992465094,S02W25,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.1820298396749,-0.30757541988436365],[98.33479418881466,-0.30758876701367155],[98.33479861798479,-0.15379440851173679],[98.18203876308597,-0.15378994273938532],[98.1820298396749,-0.30757541988436365]]]}"
00000000000000000021,4956.280306343088,S01W25,6.724079723587386,17.237506079637036,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.18203876308597,-0.15378994273938532],[98.33479861798479,-0.15379440851173679],[98.33480313072444,3.5198167541421235E-8],[98.18204318309373,3.5211791017324796E-8],[98.18203876308597,-0.15378994273938532]]]}"
