project ID,deployment ID ,observation date/time,# adult males,# adult  females,# adults sex unknown,# Subadults (either sex - 1-2 years old),# cubs (either sex - 1-12 month old),,,,,,
BBSNP2015,BBS-2015-Loc-27,8/30/2015 7:34,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-28,10/12/2015 22:44,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-28,10/12/2015 22:44,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-28,10/12/2015 22:45,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-28,10/12/2015 22:45,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-29,7/26/2015 3:42,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-29,9/2/2015 6:23,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-29,9/2/2015 6:23,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-33,9/20/2015 19:50,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-33,9/20/2015 20:33,,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-33,10/2/2015 5:39,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-33,10/16/2015 15:29,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-33,10/16/2015 15:30,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-34,8/21/2015 5:45,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-34,8/21/2015 5:46,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-35,9/2/2015 4:47,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-35,9/2/2015 8:27,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-35,9/2/2015 8:27,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-35,9/2/2015 8:27,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-38,8/21/2015 17:57,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-38,8/21/2015 18:01,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-38,10/12/2015 5:56,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-44,7/15/2015 16:55,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:18,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:19,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:19,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:19,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:19,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-46,8/9/2015 5:20,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 6:59,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 6:59,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 6:59,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 7:00,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 7:00,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 7:00,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-50,6/1/2015 7:01,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:07,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:08,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:08,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:08,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:11,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:12,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:13,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:13,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:16,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:17,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,6/8/2015 16:18,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-52,8/7/2015 21:16,,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-54,7/3/2015 15:38,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-54,7/3/2015 15:39,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-54,7/3/2015 15:39,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-54,7/3/2015 15:39,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-54,7/3/2015 15:40,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-55,9/16/2015 15:48,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-55,9/16/2015 15:49,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/5/2015 14:49,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/5/2015 14:49,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,8/19/2015 13:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,9/9/2015 18:18,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,9/20/2015 8:00,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,9/20/2015 8:00,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-58,9/21/2015 7:59,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-59,7/3/2015 23:55,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-59,7/3/2015 23:55,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-59,7/3/2015 23:59,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,7/16/2015 15:22,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,7/16/2015 15:22,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,7/16/2015 15:23,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,8/17/2015 7:03,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,8/17/2015 7:03,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,8/17/2015 7:04,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-63,8/17/2015 7:05,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/9/2015 7:24,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/9/2015 7:26,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/16/2015 16:33,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/16/2015 16:35,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/20/2015 18:15,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/20/2015 18:17,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/21/2015 6:23,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,7/21/2015 6:24,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/16/2015 5:11,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/16/2015 5:13,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/17/2015 3:14,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/17/2015 3:15,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:06,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:06,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:06,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:07,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:07,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/18/2015 11:07,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/19/2015 8:49,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/19/2015 8:50,1,,,,,,,,,,
